"fa_year","disease","general","exposure","lag","ee_original","ll_original","ul_original","Value","Reference","increase_original","unit_original","country","continent","cohort","fu","mean_temp","Type.of.ES","Statistical.method","Population","Outcome","stratification"
"Berglind et al. (2010)","Myocardial infarction","y","PM10","0-2",0.97,0.86,1.16,NA,NA,12.2,"μg/m3","Sweden","Europe","Swedish Onset","1 (1994)",NA,"OR","Conditional logistic regression","44-70 years","HA","adult"
"Berglind et al. (2010)","Myocardial infarction","y","PM10","0-2",0.86,0.65,1.1,NA,NA,12.2,"μg/m3","Sweden","Europe","Swedish Onset","1 (1994)",NA,"OR","Conditional logistic regression","44-70 years","HA","elderly"
"Berglind et al. (2010)","Myocardial infarction","y","PM10","0-24",1,0.87,1.21,NA,NA,9.1,"μg/m3","Sweden","Europe","Swedish Onset","1 (1994)",NA,"OR","Conditional logistic regression","44-70 years","HA","adult"
"Berglind et al. (2010)","Myocardial infarction","y","PM10","0-24",0.98,0.79,1.29,NA,NA,9.1,"μg/m3","Sweden","Europe","Swedish Onset","1 (1994)",NA,"OR","Conditional logistic regression","44-70 years","HA","elderly"
"Berglind et al. (2010)","Myocardial infarction","y","O3","0-2",1.16,0.94,1.43,NA,NA,29.6,"μg/m3","Sweden","Europe","Swedish Onset","2 (1993-1994)",NA,"OR","Conditional logistic regression","44-70 years","HA","adult"
"Berglind et al. (2010)","Myocardial infarction","y","O3","0-2",0.86,0.63,1.12,NA,NA,29.6,"μg/m3","Sweden","Europe","Swedish Onset","2 (1993-1994)",NA,"OR","Conditional logistic regression","44-70 years","HA","elderly"
"Berglind et al. (2010)","Myocardial infarction","y","O3","0-24",1.05,0.86,1.35,NA,NA,24.7,"μg/m3","Sweden","Europe","Swedish Onset","2 (1993-1994)",NA,"OR","Conditional logistic regression","44-70 years","HA","adult"
"Berglind et al. (2010)","Myocardial infarction","y","O3","0-24",0.76,0.51,1,NA,NA,24.7,"μg/m3","Sweden","Europe","Swedish Onset","2 (1993-1994)",NA,"OR","Conditional logistic regression","44-70 years","HA","elderly"
"Chen, R. et al. (2022)","Acute coronary syndrome","y","CO","0-24",1.0151,1.0105,1.0196,NA,NA,1,"mg/m3","China","Asia","CCA Database","6 (2015-2020)",NA,"OR","Conditional logistic regression","General","HA","adult"
"Chen, R. et al. (2022)","Acute coronary syndrome","y","NO2","0-24",1.0415,1.0346,1.0483,NA,NA,10,"μg/m3","China","Asia","CCA Database","6 (2015-2020)",NA,"OR","Conditional logistic regression","General","HA","adult"
"Chen, R. et al. (2022)","Acute coronary syndrome","y","PM2.5","0-24",1.0128,1.0094,1.0163,NA,NA,10,"μg/m3","China","Asia","CCA Database","6 (2015-2020)",NA,"OR","Conditional logistic regression","General","HA","adult"
