"fa_year","disease","general","exposure","lag","ee_original","ll_original","ul_original","Value","Reference","increase_original","unit_original","country","continent","cohort","fu","mean_temp","Type.of.ES","Statistical.method","Population","Outcome","stratification"
"Ai et al. (2019)","Cardiovascular","y","PM2.5","0-24",1.0071,1.0071,1.0134,NA,NA,10,"μg/m3","China","Asia","Luoyang Ambulance Service Center","3 (2014-2016)",NA,"RR","Quasi-Poisson DLNM","General","EAC","warm"
"Ai et al. (2019)","Cardiovascular","y","PM10","0-24",1.0033,0.9996,1.0071,NA,NA,10,"μg/m3","China","Asia","Luoyang Ambulance Service Center","3 (2014-2016)",NA,"RR","Quasi-Poisson DLNM","General","EAC","warm"
"Ai et al. (2019)","Cardiovascular","y","SO2","0-24",1.0314,1.0161,1.0469,NA,NA,10,"μg/m3","China","Asia","Luoyang Ambulance Service Center","3 (2014-2016)",NA,"RR","Quasi-Poisson DLNM","General","EAC","warm"
"Ai et al. (2019)","Cardiovascular","y","NO2","0-24",1.0246,1.0091,1.0403,NA,NA,10,"μg/m3","China","Asia","Luoyang Ambulance Service Center","3 (2014-2016)",NA,"RR","Quasi-Poisson DLNM","General","EAC","warm"
"Ai et al. (2019)","Cardiovascular","y","PM2.5","0-24",1.0004,0.9973,1.0036,NA,NA,10,"μg/m3","China","Asia","Luoyang Ambulance Service Center","3 (2014-2016)",NA,"RR","Quasi-Poisson DLNM","General","EAC","cold"
"Ai et al. (2019)","Cardiovascular","y","PM10","0-24",1.0006,0.9984,1.0029,NA,NA,10,"μg/m3","China","Asia","Luoyang Ambulance Service Center","3 (2014-2016)",NA,"RR","Quasi-Poisson DLNM","General","EAC","cold"
"Ai et al. (2019)","Cardiovascular","y","SO2","0-24",1.0037,0.9987,1.0086,NA,NA,10,"μg/m3","China","Asia","Luoyang Ambulance Service Center","3 (2014-2016)",NA,"RR","Quasi-Poisson DLNM","General","EAC","cold"
"Ai et al. (2019)","Cardiovascular","y","NO2","0-24",1.0093,0.9983,1.0205,NA,NA,10,"μg/m3","China","Asia","Luoyang Ambulance Service Center","3 (2014-2016)",NA,"RR","Quasi-Poisson DLNM","General","EAC","cold"
"Bhaskaran et al. (2011)","Myocardial infarction","y","PM10","1-6",1.020465116,1.00124031,1.04,NA,NA,10,"μg/m3","UK","Europe","MINAP","4 (2003-2006)",NA,"OR","Conditional logistic regression","General","HA","warm"
"Bhaskaran et al. (2011)","Myocardial infarction","y","PM10","7-12",0.9826356589,0.9596899225,1.005581395,NA,NA,10,"μg/m3","UK","Europe","MINAP","4 (2003-2006)",NA,"OR","Conditional logistic regression","General","HA","warm"
"Bhaskaran et al. (2011)","Myocardial infarction","y","PM10","13-18",1.012403101,0.9888372093,1.036589147,NA,NA,10,"μg/m3","UK","Europe","MINAP","4 (2003-2006)",NA,"OR","Conditional logistic regression","General","HA","warm"
"Bhaskaran et al. (2011)","Myocardial infarction","y","PM10","19-24",0.9931782946,0.9730232558,1.013333333,NA,NA,10,"μg/m3","UK","Europe","MINAP","4 (2003-2006)",NA,"OR","Conditional logistic regression","General","HA","warm"
"Bhaskaran et al. (2011)","Myocardial infarction","y","PM10","1-6",1.009922481,1.000310078,1.019534884,NA,NA,10,"μg/m3","UK","Europe","MINAP","4 (2003-2006)",NA,"OR","Conditional logistic regression","General","HA","cold"
