"fa_year","disease","general","exposure","lag","ee_original","ll_original","ul_original","Value","Reference","increase_original","unit_original","country","continent","cohort","fu","mean_temp","Type.of.ES","Statistical.method","Population","Outcome","stratification"
"Berglind et al. (2010)","Myocardial infarction","y","PM10","0-2",1.08,0.86,1.41,NA,NA,12.2,"μg/m3","Sweden","Europe","Swedish Onset","1 (1994)",NA,"OR","Conditional logistic regression","44-70 years","HA","female"
"Berglind et al. (2010)","Myocardial infarction","y","PM10","0-2",0.92,0.79,1.06,NA,NA,12.2,"μg/m3","Sweden","Europe","Swedish Onset","1 (1994)",NA,"OR","Conditional logistic regression","44-70 years","HA","male"
"Berglind et al. (2010)","Myocardial infarction","y","PM10","0-24",1.19,0.9,1.55,NA,NA,9.1,"μg/m3","Sweden","Europe","Swedish Onset","1 (1994)",NA,"OR","Conditional logistic regression","44-70 years","HA","female"
"Berglind et al. (2010)","Myocardial infarction","y","PM10","0-24",0.95,0.83,1.14,NA,NA,9.1,"μg/m3","Sweden","Europe","Swedish Onset","1 (1994)",NA,"OR","Conditional logistic regression","44-70 years","HA","male"
"Berglind et al. (2010)","Myocardial infarction","y","O3","0-2",1,0.73,1.46,NA,NA,29.6,"μg/m3","Sweden","Europe","Swedish Onset","2 (1993-1994)",NA,"OR","Conditional logistic regression","44-70 years","HA","female"
"Berglind et al. (2010)","Myocardial infarction","y","O3","0-2",1.04,0.87,1.29,NA,NA,29.6,"μg/m3","Sweden","Europe","Swedish Onset","2 (1993-1994)",NA,"OR","Conditional logistic regression","44-70 years","HA","male"
"Berglind et al. (2010)","Myocardial infarction","y","O3","0-24",0.92,0.62,1.38,NA,NA,24.7,"μg/m3","Sweden","Europe","Swedish Onset","2 (1993-1994)",NA,"OR","Conditional logistic regression","44-70 years","HA","female"
"Berglind et al. (2010)","Myocardial infarction","y","O3","0-24",0.94,0.78,1.18,NA,NA,24.7,"μg/m3","Sweden","Europe","Swedish Onset","2 (1993-1994)",NA,"OR","Conditional logistic regression","44-70 years","HA","male"
"Bhaskaran et al. (2012)","Myocardial infarction","y","Heat","1-6",1.0136,0.9889,1.0379,21,20,1,"°C","UK","Europe","MINAP","7 (2003-2009)",NA,"OR","Conditional logistic regression","General","HA","female"
"Bhaskaran et al. (2012)","Myocardial infarction","y","Heat","1-6",1.0229,1.0043,1.0411,21,20,1,"°C","UK","Europe","MINAP","7 (2003-2009)",NA,"OR","Conditional logistic regression","General","HA","male"
"Chen, K. et al. (2020)","Myocardial infarction","y","PM10","1-6",1.038,0.9956,1.0822,NA,NA,15.8,"μg/m3","Germany","Europe","Ausburg MI Registry","11 (2005-2015)",NA,"OR","Conditional logistic regression","General","HA","male"
"Chen, K. et al. (2020)","Myocardial infarction","y","PM2.5","1-6",1.0475,1.0045,1.0924,NA,NA,13.2,"μg/m3","Germany","Europe","Ausburg MI Registry","11 (2005-2015)",NA,"OR","Conditional logistic regression","General","HA","male"
"Chen, K. et al. (2020)","Myocardial infarction","y","UFP","1-6",1.054,1.0182,1.0909,NA,NA,6528,"particles/cm3","Germany","Europe","Ausburg MI Registry","11 (2005-2015)",NA,"OR","Conditional logistic regression","General","HA","male"
"Chen, K. et al. (2020)","Myocardial infarction","y","PM10","1-6",0.9833,0.9116,1.0607,NA,NA,15.8,"μg/m3","Germany","Europe","Ausburg MI Registry","11 (2005-2015)",NA,"OR","Conditional logistic regression","General","HA","female"
"Chen, K. et al. (2020)","Myocardial infarction","y","PM2.5","1-6",1.0044,0.9322,1.0822,NA,NA,13.2,"μg/m3","Germany","Europe","Ausburg MI Registry","11 (2005-2015)",NA,"OR","Conditional logistic regression","General","HA","female"
"Chen, K. et al. (2020)","Myocardial infarction","y","UFP","1-6",0.9755,0.9169,1.0378,NA,NA,6528,"particles/cm3","Germany","Europe","Ausburg MI Registry","11 (2005-2015)",NA,"OR","Conditional logistic regression","General","HA","female"
"Chen, R. et al. (2022)","Acute coronary syndrome","y","CO","0-24",1.0186,1.0128,1.0244,NA,NA,1,"mg/m3","China","Asia","CCA Database","6 (2015-2020)",NA,"OR","Conditional logistic regression","General","HA","female"
"Chen, R. et al. (2022)","Acute coronary syndrome","y","NO2","0-24",1.0437,1.035,1.0525,NA,NA,10,"μg/m3","China","Asia","CCA Database","6 (2015-2020)",NA,"OR","Conditional logistic regression","General","HA","female"
"Chen, R. et al. (2022)","Acute coronary syndrome","y","PM2.5","0-24",1.0119,1.0075,1.0163,NA,NA,10,"μg/m3","China","Asia","CCA Database","6 (2015-2020)",NA,"OR","Conditional logistic regression","General","HA","female"
"Chen, R. et al. (2022)","Acute coronary syndrome","y","SO2","0-24",1.0074,1.0036,1.0112,NA,NA,10,"μg/m3","China","Asia","CCA Database","6 (2015-2020)",NA,"OR","Conditional logistic regression","General","HA","female"
"Chen, R. et al. (2022)","Acute coronary syndrome","y","CO","0-24",1.0127,1.009,1.0164,NA,NA,1,"mg/m3","China","Asia","CCA Database","6 (2015-2020)",NA,"OR","Conditional logistic regression","General","HA","male"
"Chen, R. et al. (2022)","Acute coronary syndrome","y","NO2","0-24",1.0374,1.0317,1.0432,NA,NA,10,"μg/m3","China","Asia","CCA Database","6 (2015-2020)",NA,"OR","Conditional logistic regression","General","HA","male"
"Chen, R. et al. (2022)","Acute coronary syndrome","y","PM2.5","0-24",1.0137,1.0107,1.0167,NA,NA,10,"μg/m3","China","Asia","CCA Database","6 (2015-2020)",NA,"OR","Conditional logistic regression","General","HA","male"
"Chen, R. et al. (2022)","Acute coronary syndrome","y","SO2","0-24",1.0067,1.0043,1.0091,NA,NA,10,"μg/m3","China","Asia","CCA Database","6 (2015-2020)",NA,"OR","Conditional logistic regression","General","HA","male"
"Cheng et al. (2021a)","Acute myocardial infarction","y","PM10","13-24",1.0171,0.8758,1.1583,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","female"
"Cheng et al. (2021a)","Acute myocardial infarction","y","PM10","7-12",1.0174,0.9136,1.1318,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","female"
"Cheng et al. (2021a)","Acute myocardial infarction","y","PM10","2-6",1.0006,0.9136,1.1079,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","female"
"Cheng et al. (2021a)","Acute myocardial infarction","y","PM10","1",0.9819,0.9137,1.0734,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","female"
"Cheng et al. (2021a)","Acute myocardial infarction","y","PM2.5","13-24",1.069,0.8723,1.309,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","female"
"Cheng et al. (2021a)","Acute myocardial infarction","y","PM2.5","7-12",1.1259,0.938,1.3537,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","female"
"Cheng et al. (2021a)","Acute myocardial infarction","y","PM2.5","2-6",1.0695,0.8928,1.2811,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","female"
"Cheng et al. (2021a)","Acute myocardial infarction","y","PM2.5","1",0.9999,0.8633,1.1443,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","female"
"Cheng et al. (2021a)","Acute myocardial infarction","y","NO2","13-24",1.0692,0.8827,1.3064,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","female"
"Cheng et al. (2021a)","Acute myocardial infarction","y","NO2","7-12",1.1189,0.9365,1.3636,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","female"
"Cheng et al. (2021a)","Acute myocardial infarction","y","NO2","2-6",1.0379,0.8255,1.1927,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","female"
"Cheng et al. (2021a)","Acute myocardial infarction","y","NO2","1",1.0012,0.8531,1.1749,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","female"
