fa_year,disease,general,exposure,mean_hourly,unit_original,mean_temp,mean_adjusted,lag,ee_original,ll_original,ul_original,Value,Reference,increase_original,country,continent,cohort,fu,n,male_pct,Outcome,Type.of.ES,Statistical.method,Population,RoB,Note,log.EE,log.SE,alog.EE,alog.SE
Ai et al. (2019),Cardiovascular,y,NO2,44.46,μg/m3,NA,44.46,0-6,1.0057,0.9984,1.0131,NA,NA,10,China,Asia,Luoyang Ambulance Service Center,3 (2014-2016),26461,NA,EAC,RR,Quasi-Poisson DLNM,General,Low,,0.005683816468,0.003728627154,0.005683816468,0.003728627154
Ai et al. (2019),Cardiovascular,y,NO2,44.46,μg/m3,NA,44.46,13-18,1.0065,0.9996,1.0135,NA,NA,10,China,Asia,Luoyang Ambulance Service Center,3 (2014-2016),26461,NA,EAC,RR,Quasi-Poisson DLNM,General,Low,,0.006478966098,0.003522899727,0.006478966098,0.003522899727
Ai et al. (2019),Cardiovascular,y,NO2,44.46,μg/m3,NA,44.46,19-24,1.0042,0.9971,1.0113,NA,NA,10,China,Asia,Luoyang Ambulance Service Center,3 (2014-2016),26461,NA,EAC,RR,Quasi-Poisson DLNM,General,Low,,0.004191204618,0.003607358437,0.004191204618,0.003607358437
Ai et al. (2019),Cardiovascular,y,NO2,44.46,μg/m3,NA,44.46,7-12,1.0061,0.9991,1.0132,NA,NA,10,China,Asia,Luoyang Ambulance Service Center,3 (2014-2016),26461,NA,EAC,RR,Quasi-Poisson DLNM,General,Low,,0.006081470316,0.003575011324,0.006081470316,0.003575011324
Ai et al. (2019),Cardiovascular,y,PM10,120.79,μg/m3,NA,120.79,0-6,1.001,0.9994,1.0027,NA,NA,10,China,Asia,Luoyang Ambulance Service Center,3 (2014-2016),26461,NA,EAC,RR,Quasi-Poisson DLNM,General,Low,,0.0009995003331,0.0008409544948,0.0009995003331,0.0008409544948
Ai et al. (2019),Cardiovascular,y,PM10,120.79,μg/m3,NA,120.79,13-18,1.0011,0.9995,1.0027,NA,NA,10,China,Asia,Luoyang Ambulance Service Center,3 (2014-2016),26461,NA,EAC,RR,Quasi-Poisson DLNM,General,Low,,0.001099395443,0.0008154302524,0.001099395443,0.0008154302524
Ai et al. (2019),Cardiovascular,y,PM10,120.79,μg/m3,NA,120.79,19-24,1.0001,0.9985,1.0017,NA,NA,10,China,Asia,Luoyang Ambulance Service Center,3 (2014-2016),26461,NA,EAC,RR,Quasi-Poisson DLNM,General,Low,,1.00E-04,0.0008162456025,1.00E-04,0.0008162456025
Ai et al. (2019),Cardiovascular,y,PM10,120.79,μg/m3,NA,120.79,7-12,1.0014,0.9998,1.003,NA,NA,10,China,Asia,Luoyang Ambulance Service Center,3 (2014-2016),26461,NA,EAC,RR,Quasi-Poisson DLNM,General,Low,,0.001399020914,0.0008151859649,0.001399020914,0.0008151859649
Ai et al. (2019),Cardiovascular,y,PM2.5,73.9,μg/m3,NA,73.9,0-6,1.0016,0.9992,1.0039,NA,NA,10,China,Asia,Luoyang Ambulance Service Center,3 (2014-2016),26461,NA,EAC,RR,Quasi-Poisson DLNM,General,Low,,0.001598721364,0.001197126246,0.001598721364,0.001197126246
Ai et al. (2019),Cardiovascular,y,PM2.5,73.9,μg/m3,NA,73.9,13-18,1.001,0.9986,1.0033,NA,NA,10,China,Asia,Luoyang Ambulance Service Center,3 (2014-2016),26461,NA,EAC,RR,Quasi-Poisson DLNM,General,Low,,0.0009995003331,0.001197843843,0.0009995003331,0.001197843843
Ai et al. (2019),Cardiovascular,y,PM2.5,73.9,μg/m3,NA,73.9,19-24,0.9995,0.9971,1.0019,NA,NA,10,China,Asia,Luoyang Ambulance Service Center,3 (2014-2016),26461,NA,EAC,RR,Quasi-Poisson DLNM,General,Low,,-0.0005001250417,0.001225104702,-0.0005001250417,0.001225104702
Ai et al. (2019),Cardiovascular,y,PM2.5,73.9,μg/m3,NA,73.9,7-12,1.0021,0.9997,1.0044,NA,NA,10,China,Asia,Luoyang Ambulance Service Center,3 (2014-2016),26461,NA,EAC,RR,Quasi-Poisson DLNM,General,Low,,0.002097798082,0.001196528906,0.002097798082,0.001196528906
Ai et al. (2019),Cardiovascular,y,SO2,46.35,μg/m3,NA,46.35,0-6,1.0032,0.9992,1.0072,NA,NA,10,China,Asia,Luoyang Ambulance Service Center,3 (2014-2016),26461,NA,EAC,RR,Quasi-Poisson DLNM,General,Low,,0.003194890897,0.002034317326,0.003194890897,0.002034317326
Ai et al. (2019),Cardiovascular,y,SO2,46.35,μg/m3,NA,46.35,13-18,1.0031,0.9992,1.0071,NA,NA,10,China,Asia,Luoyang Ambulance Service Center,3 (2014-2016),26461,NA,EAC,RR,Quasi-Poisson DLNM,General,Low,,0.003095204907,0.002008988225,0.003095204907,0.002008988225
Ai et al. (2019),Cardiovascular,y,SO2,46.35,μg/m3,NA,46.35,19-24,1.0011,0.9972,1.005,NA,NA,10,China,Asia,Luoyang Ambulance Service Center,3 (2014-2016),26461,NA,EAC,RR,Quasi-Poisson DLNM,General,Low,,0.001099395443,0.001987619603,0.001099395443,0.001987619603
