fa_year,disease,general,exposure,mean_hourly,lag,ee_original,ll_original,ul_original,Value,Reference,increase_original,unit_original,continent,country,cohort,fu,n,population,incidence,male_pct,mean_temp,Molecular.weight,Type.of.ES,Statistical.method,Population,Outcome,stratification
Ai et al. (2019),Respiratory,y,PM2.5,73.9,0-24,1.0121,0.9965,1.028,NA,NA,10,μg/m3,Asia,China,Luoyang Ambulance Service Center,3 (2014-2016),4211,NA,NA,NA,NA,NA,RR,Quasi-Poisson DLNM,General,EAC,warm
Ai et al. (2019),Respiratory,y,PM10,120.79,0-24,1.0076,0.9983,1.0169,NA,NA,10,μg/m3,Asia,China,Luoyang Ambulance Service Center,3 (2014-2016),4211,NA,NA,NA,NA,NA,RR,Quasi-Poisson DLNM,General,EAC,warm
Ai et al. (2019),Respiratory,y,SO2,46.35,0-24,1.0117,0.9739,1.051,NA,NA,10,μg/m3,Asia,China,Luoyang Ambulance Service Center,3 (2014-2016),4211,NA,NA,NA,NA,NA,RR,Quasi-Poisson DLNM,General,EAC,warm
Ai et al. (2019),Respiratory,y,NO2,44.46,0-24,0.9978,0.9609,1.036,NA,NA,10,μg/m3,Asia,China,Luoyang Ambulance Service Center,3 (2014-2016),4211,NA,NA,NA,NA,NA,RR,Quasi-Poisson DLNM,General,EAC,warm
Ai et al. (2019),Respiratory,y,PM2.5,73.9,0-24,1.0082,1.0011,1.0153,NA,NA,10,μg/m3,Asia,China,Luoyang Ambulance Service Center,3 (2014-2016),4211,NA,NA,NA,NA,NA,RR,Quasi-Poisson DLNM,General,EAC,cold
Ai et al. (2019),Respiratory,y,PM10,120.79,0-24,1.0047,0.9995,1.0099,NA,NA,10,μg/m3,Asia,China,Luoyang Ambulance Service Center,3 (2014-2016),4211,NA,NA,NA,NA,NA,RR,Quasi-Poisson DLNM,General,EAC,cold
Ai et al. (2019),Respiratory,y,SO2,46.35,0-24,1.0052,0.9938,1.0168,NA,NA,10,μg/m3,Asia,China,Luoyang Ambulance Service Center,3 (2014-2016),4211,NA,NA,NA,NA,NA,RR,Quasi-Poisson DLNM,General,EAC,cold
Ai et al. (2019),Respiratory,y,NO2,44.46,0-24,0.9985,0.9731,1.0245,NA,NA,10,μg/m3,Asia,China,Luoyang Ambulance Service Center,3 (2014-2016),4211,NA,NA,NA,NA,NA,RR,Quasi-Poisson DLNM,General,EAC,cold
Cheng et al. (2021b),Respiratory,y (combined),NO2,4,1,NA,NA,NA,NA,NA,18,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),22492,444412,0.01687023153,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Respiratory,y (combined),NO2,4,2-6,NA,NA,NA,NA,NA,18,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),22492,444412,0.01687023153,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
